Time,OverstimulationLevel,AdaptedLevel,AdaptationMultiplier,HeadRotationSpeed,DiscomfortLevel,ActiveTriggers
0.118,0.0000,0.0000,0.9854,365.02,1.0000,0
0.237,0.0000,0.0000,0.9702,228.87,1.0000,0
0.349,0.0000,0.0000,0.9437,152.58,1.0000,0
0.450,0.0000,0.0000,0.9347,122.06,1.0000,0
0.561,0.0000,0.0000,0.9173,96.36,1.0000,0
0.667,0.0000,0.0000,0.9077,79.86,0.8310,0
0.781,0.0000,0.0000,0.9063,70.09,0.6682,0
0.887,0.0000,0.0000,0.9105,64.27,0.5712,0
0.997,0.0000,0.0000,0.9189,57.95,0.4658,0
1.123,0.0000,0.0000,0.9326,51.20,0.3534,0
1.234,0.0000,0.0000,0.9470,46.71,0.2784,0
1.358,0.0000,0.0000,0.9654,41.94,0.1990,0
1.459,0.0000,0.0000,0.9822,38.77,0.1462,0
1.565,0.0000,0.0000,0.9980,36.05,0.1009,0
1.687,0.0000,0.0000,1.0185,33.15,0.0524,0
1.811,0.0000,0.0000,1.0386,30.67,0.0112,0
1.911,0.0000,0.0000,1.0533,28.94,0.0000,0
2.031,0.0000,0.0000,1.0708,3.40,0.0000,0
2.156,0.0000,0.0000,1.0857,2.99,0.0000,0
2.271,0.0000,0.0000,1.0986,2.91,0.0000,0
2.375,0.0000,0.0000,1.1083,2.87,0.0000,0
2.490,0.0000,0.0000,1.1188,2.84,0.0000,0
2.613,0.0000,0.0000,1.1284,2.84,0.0000,0
2.728,0.0000,0.0000,1.1362,2.44,0.0000,0
2.844,0.0000,0.0000,1.1432,1.41,0.0000,0
2.960,0.0000,0.0000,1.1496,0.51,0.0000,0
3.072,0.0000,0.0000,1.1550,0.22,0.0000,0
3.189,0.0000,0.0000,1.1600,0.09,0.0000,0
3.302,0.0000,0.0000,1.1643,0.09,0.0000,0
3.413,0.0000,0.0000,1.1681,0.09,0.0000,0
3.528,0.0000,0.0000,1.1716,0.08,0.0000,0
3.636,0.0000,0.0000,1.1746,0.08,0.0000,0
3.747,0.0000,0.0000,1.1773,0.08,0.0000,0
3.862,0.0000,0.0000,1.1797,0.25,0.0000,0
3.970,0.0000,0.0000,1.1819,0.25,0.0000,0
4.083,0.0000,0.0000,1.1838,0.25,0.0000,0
4.194,0.0000,0.0000,1.1855,0.25,0.0000,0
4.300,0.0000,0.0000,1.1870,0.25,0.0000,0
4.413,0.0000,0.0000,1.1884,0.25,0.0000,0
4.523,0.0000,0.0000,1.1896,0.25,0.0000,0
4.632,0.0000,0.0000,1.1908,0.24,0.0000,0
4.739,0.0000,0.0000,1.1917,0.36,0.0000,0
4.850,0.0000,0.0000,1.1926,0.45,0.0000,0
4.959,0.0000,0.0000,1.1933,0.67,0.0000,0
5.065,0.0000,0.0000,1.1940,1.10,0.0000,0
5.174,0.0000,0.0000,1.1946,1.21,0.0000,0
5.280,0.0000,0.0000,1.1952,1.21,0.0000,0
5.392,0.0000,0.0000,1.1957,1.33,0.0000,0
5.495,0.0000,0.0000,1.1961,1.43,0.0000,0
5.602,0.0000,0.0000,1.1965,1.43,0.0000,0
5.709,0.0000,0.0000,1.1969,1.71,0.0000,0
5.812,0.0000,0.0000,1.1972,1.69,0.0000,0
5.921,0.0000,0.0000,1.1975,1.53,0.0000,0
6.023,0.0000,0.0000,1.1977,1.63,0.0000,0
6.131,0.0000,0.0000,1.1980,1.94,0.0000,0
6.240,0.0000,0.0000,1.1982,2.06,0.0000,0
6.342,0.0000,0.0000,1.1984,2.04,0.0000,0
6.449,0.0000,0.0000,1.1985,2.12,0.0000,0
6.551,0.0000,0.0000,1.1987,2.12,0.0000,0
6.656,0.0000,0.0000,1.1988,2.12,0.0000,0
6.756,0.0000,0.0000,1.1989,1.99,0.0000,0
6.858,0.0000,0.0000,1.1990,1.91,0.0000,0
6.962,0.0000,0.0000,1.1991,1.69,0.0000,0
7.081,0.0000,0.0000,1.1992,1.26,0.0000,0
7.188,0.0000,0.0000,1.1993,1.20,0.0000,0
7.305,0.0000,0.0000,1.1994,1.20,0.0000,0
7.413,0.0000,0.0000,1.1994,1.08,0.0000,0
7.514,0.0000,0.0000,1.1995,1.05,0.0000,0
7.616,0.0000,0.0000,1.1995,1.05,0.0000,0
7.717,0.0000,0.0000,1.1996,0.79,0.0000,0
7.834,0.0000,0.0000,1.1996,0.79,0.0000,0
7.945,0.0000,0.0000,1.1997,0.79,0.0000,0
8.058,0.0000,0.0000,1.1997,0.59,0.0000,0
8.171,0.0000,0.0000,1.1997,0.28,0.0000,0
8.284,0.0000,0.0000,1.1998,0.28,0.0000,0
8.396,0.0000,0.0000,1.1998,0.28,0.0000,0
8.509,0.0000,0.0000,1.1998,0.20,0.0000,0
8.623,0.0000,0.0000,1.1998,0.19,0.0000,0
8.734,0.0000,0.0000,1.1999,0.19,0.0000,0
8.844,0.0000,0.0000,1.1999,0.19,0.0000,0
8.959,0.0000,0.0000,1.1999,0.19,0.0000,0
9.070,0.0000,0.0000,1.1999,0.19,0.0000,0
9.183,0.0000,0.0000,1.1999,0.08,0.0000,0
9.289,0.0000,0.0000,1.1999,0.08,0.0000,0
9.405,0.0000,0.0000,1.1999,0.08,0.0000,0
9.518,0.0000,0.0000,1.1999,0.00,0.0000,0
9.628,0.0000,0.0000,1.1999,0.00,0.0000,0
9.740,0.0000,0.0000,1.1999,0.00,0.0000,0
9.841,0.0000,0.0000,1.2000,0.00,0.0000,0
9.950,0.0000,0.0000,1.2000,0.00,0.0000,0
10.063,0.0000,0.0000,1.2000,0.00,0.0000,0
10.172,0.0000,0.0000,1.2000,0.00,0.0000,0
10.285,0.0000,0.0000,1.2000,0.00,0.0000,0
10.398,0.0000,0.0000,1.2000,0.00,0.0000,0
10.509,0.0000,0.0000,1.2000,0.00,0.0000,0
10.621,0.0000,0.0000,1.2000,0.00,0.0000,0
10.733,0.0000,0.0000,1.2000,0.00,0.0000,0
10.845,0.0000,0.0000,1.2000,0.00,0.0000,0
10.952,0.0000,0.0000,1.2000,0.00,0.0000,0
11.067,0.0000,0.0000,1.2000,0.00,0.0000,0
11.177,0.0000,0.0000,1.2000,0.00,0.0000,0
11.297,0.0000,0.0000,1.2000,0.00,0.0000,0
11.407,0.0000,0.0000,1.2000,0.00,0.0000,0
11.521,0.0000,0.0000,1.2000,0.00,0.0000,0
11.621,0.0000,0.0000,1.2000,0.00,0.0000,0
