Time,OverstimulationLevel,AdaptedLevel,AdaptationMultiplier,HeadRotationSpeed,DiscomfortLevel,ActiveTriggers
0.123,0.0000,0.0000,0.9828,1095.74,1.0000,0
0.247,0.0000,0.0000,0.9685,700.79,1.0000,0
0.363,0.0000,0.0000,0.9435,479.15,1.0000,0
0.505,0.0000,0.0000,0.9294,378.29,1.0000,0
0.644,0.0000,0.0000,0.9113,311.19,1.0000,0
0.753,0.0000,0.0000,0.8962,263.30,1.0000,0
0.866,0.0000,0.0000,0.8869,228.91,1.0000,0
0.974,0.0000,0.0000,0.8772,202.63,1.0000,0
1.083,0.0000,0.0000,0.8695,181.84,1.0000,0
1.187,0.0000,0.0000,0.8621,164.60,1.0000,0
1.292,0.0000,0.0000,0.8561,149.97,1.0000,0
1.405,0.0000,0.0000,0.8499,138.72,1.0000,0
1.506,0.0000,0.0000,0.8449,128.57,1.0000,0
1.611,0.0000,0.0000,0.8406,119.68,1.0000,0
1.711,0.0000,0.0000,0.8364,112.15,1.0000,0
1.817,0.0000,0.0000,0.8329,105.57,1.0000,0
1.944,0.0000,0.0000,0.8290,98.03,1.0000,0
2.046,0.0000,0.0000,0.8260,20.85,0.0000,0
2.167,0.0000,0.0000,0.8696,18.34,0.0000,0
2.289,0.0000,0.0000,0.9075,17.26,0.0000,0
2.412,0.0000,0.0000,0.9419,14.57,0.0000,0
2.529,0.0000,0.0000,0.9716,15.35,0.0000,0
2.632,0.0000,0.0000,0.9933,18.81,0.0000,0
2.751,0.0000,0.0000,1.0172,25.73,0.0000,0
2.852,0.0000,0.0000,1.0342,27.84,0.0000,0
2.971,0.0000,0.0000,1.0538,31.11,0.0184,0
3.091,0.0000,0.0000,1.0666,41.19,0.1865,0
3.192,0.0000,0.0000,1.0697,51.93,0.3655,0
3.302,0.0000,0.0000,1.0647,62.83,0.5472,0
3.406,0.0000,0.0000,1.0547,68.94,0.6489,0
3.517,0.0000,0.0000,1.0416,69.51,0.6586,0
3.618,0.0000,0.0000,1.0310,69.95,0.6658,0
3.726,0.0000,0.0000,1.0213,69.81,0.6635,0
3.847,0.0000,0.0000,1.0110,70.01,0.6668,0
3.953,0.0000,0.0000,1.0029,69.78,0.6631,0
4.063,0.0000,0.0000,0.9959,69.08,0.6513,0
4.166,0.0000,0.0000,0.9902,69.38,0.6563,0
4.273,0.0000,0.0000,0.9853,68.29,0.6382,0
4.376,0.0000,0.0000,0.9815,67.09,0.6182,0
4.487,0.0000,0.0000,0.9789,65.63,0.5938,0
4.589,0.0000,0.0000,0.9787,59.53,0.4921,0
4.698,0.0000,0.0000,0.9830,56.37,0.4396,0
4.802,0.0000,0.0000,0.9874,56.99,0.4498,0
4.917,0.0000,0.0000,0.9902,59.61,0.4935,0
5.029,0.0000,0.0000,0.9922,56.63,0.4439,0
5.136,0.0000,0.0000,0.9983,48.12,0.3020,0
5.245,0.0000,0.0000,1.0093,37.91,0.1318,0
5.350,0.0000,0.0000,1.0264,29.92,0.0000,0
5.460,0.0000,0.0000,1.0445,25.92,0.0000,0
5.562,0.0000,0.0000,1.0599,25.92,0.0000,0
5.674,0.0000,0.0000,1.0747,25.73,0.0000,0
5.783,0.0000,0.0000,1.0877,25.52,0.0000,0
5.889,0.0000,0.0000,1.0994,25.14,0.0000,0
6.000,0.0000,0.0000,1.1097,25.32,0.0000,0
6.105,0.0000,0.0000,1.1191,25.18,0.0000,0
6.220,0.0000,0.0000,1.1274,25.24,0.0000,0
6.328,0.0000,0.0000,1.1354,25.68,0.0000,0
6.433,0.0000,0.0000,1.1419,26.00,0.0000,0
6.544,0.0000,0.0000,1.1480,26.14,0.0000,0
6.646,0.0000,0.0000,1.1532,24.42,0.0000,0
6.756,0.0000,0.0000,1.1581,19.69,0.0000,0
6.858,0.0000,0.0000,1.1622,14.21,0.0000,0
6.972,0.0000,0.0000,1.1662,10.85,0.0000,0
7.074,0.0000,0.0000,1.1696,8.98,0.0000,0
7.183,0.0000,0.0000,1.1728,8.05,0.0000,0
7.290,0.0000,0.0000,1.1755,7.60,0.0000,0
7.396,0.0000,0.0000,1.1781,7.23,0.0000,0
7.503,0.0000,0.0000,1.1803,6.69,0.0000,0
7.611,0.0000,0.0000,1.1823,5.23,0.0000,0
7.716,0.0000,0.0000,1.1841,5.34,0.0000,0
7.826,0.0000,0.0000,1.1858,7.73,0.0000,0
7.929,0.0000,0.0000,1.1872,9.99,0.0000,0
8.033,0.0000,0.0000,1.1884,10.82,0.0000,0
8.134,0.0000,0.0000,1.1896,11.61,0.0000,0
8.243,0.0000,0.0000,1.1906,12.84,0.0000,0
8.344,0.0000,0.0000,1.1916,12.80,0.0000,0
8.454,0.0000,0.0000,1.1925,12.49,0.0000,0
8.576,0.0000,0.0000,1.1933,12.34,0.0000,0
8.681,0.0000,0.0000,1.1940,12.55,0.0000,0
8.785,0.0000,0.0000,1.1946,13.17,0.0000,0
8.905,0.0000,0.0000,1.1952,14.25,0.0000,0
9.024,0.0000,0.0000,1.1958,14.32,0.0000,0
9.143,0.0000,0.0000,1.1962,14.08,0.0000,0
9.259,0.0000,0.0000,1.1967,14.07,0.0000,0
