Time,OverstimulationLevel,AdaptedLevel,AdaptationMultiplier,HeadRotationSpeed,DiscomfortLevel,ActiveTriggers
0.102,0.0000,0.0000,0.9904,156.65,1.0000,0
0.205,0.0000,0.0000,0.9751,103.18,1.0000,0
0.325,0.0000,0.0000,0.9567,74.87,0.7478,0
0.435,0.0000,0.0000,0.9542,62.89,0.5481,0
0.540,0.0000,0.0000,0.9580,57.74,0.4624,0
0.673,0.0000,0.0000,0.9636,56.24,0.4374,0
0.781,0.0000,0.0000,0.9731,52.36,0.3726,0
0.895,0.0000,0.0000,0.9838,55.33,0.4222,0
1.009,0.0000,0.0000,0.9874,52.20,0.3701,0
1.134,0.0000,0.0000,0.9984,47.47,0.2912,0
1.241,0.0000,0.0000,1.0081,43.43,0.2238,0
1.354,0.0000,0.0000,1.0204,39.48,0.1580,0
1.459,0.0000,0.0000,1.0328,37.26,0.1209,0
1.573,0.0000,0.0000,1.0464,34.96,0.0827,0
1.680,0.0000,0.0000,1.0593,32.87,0.0479,0
1.793,0.0000,0.0000,1.0728,30.82,0.0136,0
1.917,0.0000,0.0000,1.0883,28.45,0.0000,0
2.037,0.0000,0.0000,1.0997,27.84,0.0000,0
2.138,0.0000,0.0000,1.1106,20.45,0.0000,0
2.239,0.0000,0.0000,1.1197,18.27,0.0000,0
2.347,0.0000,0.0000,1.1274,17.44,0.0000,0
2.471,0.0000,0.0000,1.1362,15.17,0.0000,0
2.593,0.0000,0.0000,1.1438,11.90,0.0000,0
2.713,0.0000,0.0000,1.1503,10.49,0.0000,0
2.837,0.0000,0.0000,1.1562,8.37,0.0000,0
2.960,0.0000,0.0000,1.1613,4.54,0.0000,0
3.081,0.0000,0.0000,1.1657,4.39,0.0000,0
3.205,0.0000,0.0000,1.1697,3.89,0.0000,0
3.324,0.0000,0.0000,1.1732,3.80,0.0000,0
3.448,0.0000,0.0000,1.1763,3.41,0.0000,0
3.570,0.0000,0.0000,1.1791,3.08,0.0000,0
3.686,0.0000,0.0000,1.1814,2.71,0.0000,0
3.810,0.0000,0.0000,1.1836,2.85,0.0000,0
3.927,0.0000,0.0000,1.1855,2.94,0.0000,0
4.039,0.0000,0.0000,1.1871,2.02,0.0000,0
4.154,0.0000,0.0000,1.1885,2.37,0.0000,0
4.268,0.0000,0.0000,1.1897,2.28,0.0000,0
4.379,0.0000,0.0000,1.1908,2.15,0.0000,0
4.493,0.0000,0.0000,1.1918,1.94,0.0000,0
4.605,0.0000,0.0000,1.1927,1.80,0.0000,0
4.717,0.0000,0.0000,1.1935,1.66,0.0000,0
4.827,0.0000,0.0000,1.1942,1.44,0.0000,0
4.944,0.0000,0.0000,1.1948,1.44,0.0000,0
5.054,0.0000,0.0000,1.1954,1.08,0.0000,0
5.171,0.0000,0.0000,1.1959,1.46,0.0000,0
5.283,0.0000,0.0000,1.1963,1.55,0.0000,0
5.394,0.0000,0.0000,1.1967,1.53,0.0000,0
5.501,0.0000,0.0000,1.1970,2.50,0.0000,0
5.608,0.0000,0.0000,1.1974,2.77,0.0000,0
5.715,0.0000,0.0000,1.1976,2.77,0.0000,0
5.825,0.0000,0.0000,1.1979,2.49,0.0000,0
5.935,0.0000,0.0000,1.1981,2.41,0.0000,0
6.038,0.0000,0.0000,1.1983,2.53,0.0000,0
6.152,0.0000,0.0000,1.1985,2.16,0.0000,0
6.261,0.0000,0.0000,1.1986,2.16,0.0000,0
6.367,0.0000,0.0000,1.1988,2.16,0.0000,0
6.476,0.0000,0.0000,1.1989,2.16,0.0000,0
6.585,0.0000,0.0000,1.1990,2.36,0.0000,0
6.692,0.0000,0.0000,1.1991,2.36,0.0000,0
6.797,0.0000,0.0000,1.1992,2.26,0.0000,0
6.912,0.0000,0.0000,1.1993,2.63,0.0000,0
7.017,0.0000,0.0000,1.1994,2.94,0.0000,0
