Time,OverstimulationLevel,AdaptedLevel,AdaptationMultiplier,HeadRotationSpeed,DiscomfortLevel,ActiveTriggers
0.111,0.0000,0.0000,1.0028,25.77,0.0000,0
0.221,0.0000,0.0000,1.0204,22.40,0.0000,0
0.344,0.0000,0.0000,1.0464,16.44,0.0000,0
0.449,0.0000,0.0000,1.0616,13.86,0.0000,0
0.551,0.0000,0.0000,1.0759,11.83,0.0000,0
0.664,0.0000,0.0000,1.0880,11.61,0.0000,0
0.785,0.0000,0.0000,1.1021,9.69,0.0000,0
0.901,0.0000,0.0000,1.1119,8.66,0.0000,0
1.002,0.0000,0.0000,1.1213,7.67,0.0000,0
1.102,0.0000,0.0000,1.1287,6.89,0.0000,0
1.203,0.0000,0.0000,1.1359,6.25,0.0000,0
1.313,0.0000,0.0000,1.1422,6.19,0.0000,0
1.436,0.0000,0.0000,1.1492,5.59,0.0000,0
1.543,0.0000,0.0000,1.1545,5.46,0.0000,0
1.666,0.0000,0.0000,1.1599,5.01,0.0000,0
1.785,0.0000,0.0000,1.1645,4.82,0.0000,0
1.908,0.0000,0.0000,1.1686,4.71,0.0000,0
2.033,0.0000,0.0000,1.1722,4.40,0.0000,0
2.151,0.0000,0.0000,1.1756,3.39,0.0000,0
2.270,0.0000,0.0000,1.1782,2.93,0.0000,0
2.389,0.0000,0.0000,1.1808,3.28,0.0000,0
2.509,0.0000,0.0000,1.1829,3.92,0.0000,0
2.626,0.0000,0.0000,1.1849,4.55,0.0000,0
2.749,0.0000,0.0000,1.1866,5.12,0.0000,0
2.864,0.0000,0.0000,1.1881,5.83,0.0000,0
2.981,0.0000,0.0000,1.1894,6.41,0.0000,0
3.097,0.0000,0.0000,1.1906,6.42,0.0000,0
3.207,0.0000,0.0000,1.1916,6.42,0.0000,0
3.323,0.0000,0.0000,1.1925,6.74,0.0000,0
3.433,0.0000,0.0000,1.1933,8.61,0.0000,0
3.545,0.0000,0.0000,1.1940,9.12,0.0000,0
3.655,0.0000,0.0000,1.1947,9.02,0.0000,0
3.768,0.0000,0.0000,1.1952,9.04,0.0000,0
3.878,0.0000,0.0000,1.1957,9.10,0.0000,0
3.991,0.0000,0.0000,1.1962,8.99,0.0000,0
4.098,0.0000,0.0000,1.1966,9.03,0.0000,0
