Time,OverstimulationLevel,AdaptedLevel,AdaptationMultiplier,HeadRotationSpeed,DiscomfortLevel,ActiveTriggers
0.130,0.0000,0.0000,0.9845,421.17,1.0000,0
0.243,0.0000,0.0000,0.9686,273.05,1.0000,0
0.357,0.0000,0.0000,0.9439,186.14,1.0000,0
0.475,0.0000,0.0000,0.9295,141.88,1.0000,0
0.600,0.0000,0.0000,0.9127,111.03,1.0000,0
0.711,0.0000,0.0000,0.9019,95.62,1.0000,0
0.816,0.0000,0.0000,0.8917,83.15,0.8859,0
0.939,0.0000,0.0000,0.8894,73.83,0.7305,0
1.054,0.0000,0.0000,0.8943,66.72,0.6120,0
1.163,0.0000,0.0000,0.9021,60.60,0.5100,0
1.263,0.0000,0.0000,0.9126,55.21,0.4202,0
1.371,0.0000,0.0000,0.9263,51.86,0.3643,0
1.501,0.0000,0.0000,0.9425,47.19,0.2866,0
1.623,0.0000,0.0000,0.9613,43.68,0.2280,0
1.737,0.0000,0.0000,0.9776,41.31,0.1884,0
1.837,0.0000,0.0000,0.9931,38.84,0.1473,0
1.946,0.0000,0.0000,1.0082,37.20,0.1200,0
2.046,0.0000,0.0000,1.0231,11.12,0.0000,0
2.146,0.0000,0.0000,1.0400,7.86,0.0000,0
2.267,0.0000,0.0000,1.0593,6.95,0.0000,0
2.372,0.0000,0.0000,1.0721,6.37,0.0000,0
2.493,0.0000,0.0000,1.0880,5.82,0.0000,0
2.619,0.0000,0.0000,1.1006,5.28,0.0000,0
2.735,0.0000,0.0000,1.1124,4.39,0.0000,0
2.837,0.0000,0.0000,1.1205,4.19,0.0000,0
2.955,0.0000,0.0000,1.1298,3.82,0.0000,0
3.076,0.0000,0.0000,1.1379,3.41,0.0000,0
3.195,0.0000,0.0000,1.1448,3.17,0.0000,0
3.315,0.0000,0.0000,1.1512,2.90,0.0000,0
3.431,0.0000,0.0000,1.1567,2.54,0.0000,0
3.552,0.0000,0.0000,1.1616,2.29,0.0000,0
3.668,0.0000,0.0000,1.1660,2.17,0.0000,0
3.788,0.0000,0.0000,1.1698,2.73,0.0000,0
3.904,0.0000,0.0000,1.1731,2.98,0.0000,0
4.022,0.0000,0.0000,1.1762,2.90,0.0000,0
4.138,0.0000,0.0000,1.1788,2.69,0.0000,0
4.251,0.0000,0.0000,1.1811,2.61,0.0000,0
4.365,0.0000,0.0000,1.1832,2.50,0.0000,0
4.480,0.0000,0.0000,1.1850,2.50,0.0000,0
4.594,0.0000,0.0000,1.1866,2.68,0.0000,0
4.710,0.0000,0.0000,1.1881,2.65,0.0000,0
4.822,0.0000,0.0000,1.1894,2.65,0.0000,0
4.933,0.0000,0.0000,1.1905,2.75,0.0000,0
5.044,0.0000,0.0000,1.1915,2.72,0.0000,0
5.155,0.0000,0.0000,1.1924,2.72,0.0000,0
5.267,0.0000,0.0000,1.1933,2.85,0.0000,0
5.380,0.0000,0.0000,1.1940,2.82,0.0000,0
5.491,0.0000,0.0000,1.1946,2.91,0.0000,0
5.603,0.0000,0.0000,1.1952,3.01,0.0000,0
5.713,0.0000,0.0000,1.1957,2.74,0.0000,0
5.823,0.0000,0.0000,1.1961,1.93,0.0000,0
5.934,0.0000,0.0000,1.1966,1.59,0.0000,0
6.043,0.0000,0.0000,1.1969,1.19,0.0000,0
6.159,0.0000,0.0000,1.1973,1.10,0.0000,0
6.267,0.0000,0.0000,1.1975,1.01,0.0000,0
6.375,0.0000,0.0000,1.1978,0.99,0.0000,0
6.483,0.0000,0.0000,1.1980,0.99,0.0000,0
6.592,0.0000,0.0000,1.1982,0.59,0.0000,0
6.702,0.0000,0.0000,1.1984,0.59,0.0000,0
6.809,0.0000,0.0000,1.1986,0.59,0.0000,0
6.915,0.0000,0.0000,1.1987,0.49,0.0000,0
7.023,0.0000,0.0000,1.1989,0.49,0.0000,0
7.129,0.0000,0.0000,1.1990,0.88,0.0000,0
7.230,0.0000,0.0000,1.1991,0.99,0.0000,0
7.335,0.0000,0.0000,1.1992,0.98,0.0000,0
7.457,0.0000,0.0000,1.1993,0.80,0.0000,0
7.561,0.0000,0.0000,1.1993,0.80,0.0000,0
7.668,0.0000,0.0000,1.1994,0.70,0.0000,0
7.788,0.0000,0.0000,1.1995,0.70,0.0000,0
7.894,0.0000,0.0000,1.1995,0.70,0.0000,0
7.994,0.0000,0.0000,1.1996,0.69,0.0000,0
8.098,0.0000,0.0000,1.1996,0.69,0.0000,0
8.203,0.0000,0.0000,1.1997,0.69,0.0000,0
8.321,0.0000,0.0000,1.1997,0.60,0.0000,0
8.437,0.0000,0.0000,1.1997,0.59,0.0000,0
8.539,0.0000,0.0000,1.1998,0.59,0.0000,0
8.654,0.0000,0.0000,1.1998,0.59,0.0000,0
8.765,0.0000,0.0000,1.1998,0.59,0.0000,0
8.879,0.0000,0.0000,1.1998,0.58,0.0000,0
8.993,0.0000,0.0000,1.1998,0.58,0.0000,0
9.104,0.0000,0.0000,1.1999,1.46,0.0000,0
9.216,0.0000,0.0000,1.1999,2.51,0.0000,0
9.328,0.0000,0.0000,1.1999,2.89,0.0000,0
9.439,0.0000,0.0000,1.1999,2.89,0.0000,0
9.556,0.0000,0.0000,1.1999,2.87,0.0000,0
9.665,0.0000,0.0000,1.1999,2.96,0.0000,0
9.777,0.0000,0.0000,1.1999,2.93,0.0000,0
9.889,0.0000,0.0000,1.1999,2.91,0.0000,0
9.998,0.0000,0.0000,1.1999,2.91,0.0000,0
10.112,0.0000,0.0000,1.2000,2.88,0.0000,0
10.223,0.0000,0.0000,1.2000,2.96,0.0000,0
10.332,0.0000,0.0000,1.2000,2.94,0.0000,0
10.445,0.0000,0.0000,1.2000,2.94,0.0000,0
10.554,0.0000,0.0000,1.2000,2.91,0.0000,0
10.668,0.0000,0.0000,1.2000,2.91,0.0000,0
10.778,0.0000,0.0000,1.2000,2.91,0.0000,0
10.888,0.0000,0.0000,1.2000,2.91,0.0000,0
10.998,0.0000,0.0000,1.2000,2.91,0.0000,0
11.111,0.0000,0.0000,1.2000,2.07,0.0000,0
11.224,0.0000,0.0000,1.2000,0.56,0.0000,0
11.327,0.0000,0.0000,1.2000,0.17,0.0000,0
11.441,0.0000,0.0000,1.2000,0.18,0.0000,0
11.542,0.0000,0.0000,1.2000,0.17,0.0000,0
11.643,0.0000,0.0000,1.2000,0.17,0.0000,0
11.744,0.0000,0.0000,1.2000,0.08,0.0000,0
11.847,0.0000,0.0000,1.2000,0.08,0.0000,0
11.948,0.0000,0.0000,1.2000,0.08,0.0000,0
12.052,0.0000,0.0000,1.2000,0.08,0.0000,0
12.166,0.0000,0.0000,1.2000,0.08,0.0000,0
12.270,0.0000,0.0000,1.2000,0.00,0.0000,0
12.372,0.0000,0.0000,1.2000,0.00,0.0000,0
12.487,0.0000,0.0000,1.2000,0.00,0.0000,0
12.588,0.0000,0.0000,1.2000,0.00,0.0000,0
12.704,0.0000,0.0000,1.2000,0.00,0.0000,0
12.817,0.0000,0.0000,1.2000,0.00,0.0000,0
12.932,0.0000,0.0000,1.2000,0.00,0.0000,0
13.046,0.0000,0.0000,1.2000,0.00,0.0000,0
13.159,0.0000,0.0000,1.2000,0.00,0.0000,0
13.270,0.0000,0.0000,1.2000,0.00,0.0000,0
13.377,0.0000,0.0000,1.2000,0.00,0.0000,0
13.484,0.0000,0.0000,1.2000,0.00,0.0000,0
13.593,0.0000,0.0000,1.2000,0.00,0.0000,0
13.701,0.0000,0.0000,1.2000,0.00,0.0000,0
13.806,0.0000,0.0000,1.2000,0.00,0.0000,0
13.911,0.0000,0.0000,1.2000,0.00,0.0000,0
14.019,0.0000,0.0000,1.2000,0.00,0.0000,0
14.122,0.0000,0.0000,1.2000,0.00,0.0000,0
14.230,0.0032,0.0038,1.2000,0.00,0.0000,1
14.339,0.0137,0.0165,1.2000,0.00,0.0000,1
14.445,0.0243,0.0292,1.2000,0.00,0.0000,1
14.550,0.0350,0.0420,1.2000,0.00,0.0000,1
14.654,0.0455,0.0546,1.2000,0.00,0.0000,1
14.762,0.0562,0.0674,1.2000,0.00,0.0000,1
14.867,0.0666,0.0799,1.2000,0.00,0.0000,1
14.970,0.0771,0.0925,1.2000,0.00,0.0000,1
15.080,0.0881,0.1057,1.2000,0.00,0.0000,1
15.185,0.0986,0.1183,1.2000,0.00,0.0000,1
15.292,0.1091,0.1309,1.2000,0.00,0.0000,1
15.400,0.1199,0.1438,1.2000,0.00,0.0000,1
15.506,0.1307,0.1568,1.2000,0.00,0.0000,1
