Time,OverstimulationLevel,AdaptedLevel,AdaptationMultiplier,HeadRotationSpeed,DiscomfortLevel,ActiveTriggers
0.106,0.0000,0.0000,0.9875,551.77,1.0000,0
0.222,0.0000,0.0000,0.9722,355.65,1.0000,0
0.334,0.0000,0.0000,0.9492,265.99,1.0000,0
0.438,0.0000,0.0000,0.9330,212.67,1.0000,0
0.565,0.0000,0.0000,0.9174,179.05,1.0000,0
0.669,0.0000,0.0000,0.9047,155.85,1.0000,0
0.775,0.0000,0.0000,0.8954,137.32,1.0000,0
0.912,0.0000,0.0000,0.8840,120.40,1.0000,0
1.029,0.0000,0.0000,0.8737,104.93,1.0000,0
1.147,0.0000,0.0000,0.8662,97.88,1.0000,0
1.250,0.0000,0.0000,0.8583,89.48,0.9914,0
1.363,0.0000,0.0000,0.8547,82.56,0.8761,0
1.464,0.0000,0.0000,0.8558,76.21,0.7702,0
1.568,0.0000,0.0000,0.8604,71.48,0.6913,0
1.684,0.0000,0.0000,0.8690,66.80,0.6133,0
1.786,0.0000,0.0000,0.8786,62.73,0.5456,0
1.887,0.0000,0.0000,0.8896,59.18,0.4863,0
1.991,0.0000,0.0000,0.9021,56.01,0.4335,0
2.114,0.0000,0.0000,0.9299,17.69,0.0000,0
2.217,0.0000,0.0000,0.9548,16.88,0.0000,0
2.319,0.0000,0.0000,0.9799,16.17,0.0000,0
2.436,0.0000,0.0000,1.0047,12.03,0.0000,0
2.542,0.0000,0.0000,1.0244,7.54,0.0000,0
2.662,0.0000,0.0000,1.0444,5.94,0.0000,0
2.763,0.0000,0.0000,1.0596,4.04,0.0000,0
2.879,0.0000,0.0000,1.0750,3.96,0.0000,0
3.000,0.0000,0.0000,1.0902,4.08,0.0000,0
3.116,0.0000,0.0000,1.1024,3.82,0.0000,0
3.233,0.0000,0.0000,1.1128,3.56,0.0000,0
3.346,0.0000,0.0000,1.1229,3.29,0.0000,0
3.449,0.0000,0.0000,1.1295,3.42,0.0000,0
3.569,0.0000,0.0000,1.1384,2.93,0.0000,0
3.693,0.0000,0.0000,1.1453,3.07,0.0000,0
3.809,0.0000,0.0000,1.1514,3.21,0.0000,0
3.926,0.0000,0.0000,1.1570,3.10,0.0000,0
4.047,0.0000,0.0000,1.1618,3.09,0.0000,0
4.160,0.0000,0.0000,1.1660,3.04,0.0000,0
4.278,0.0000,0.0000,1.1698,2.51,0.0000,0
4.395,0.0000,0.0000,1.1731,2.96,0.0000,0
4.514,0.0000,0.0000,1.1763,3.02,0.0000,0
4.614,0.0000,0.0000,1.1785,2.87,0.0000,0
4.729,0.0000,0.0000,1.1809,2.44,0.0000,0
4.842,0.0000,0.0000,1.1829,2.34,0.0000,0
4.955,0.0000,0.0000,1.1848,2.17,0.0000,0
5.066,0.0000,0.0000,1.1864,1.84,0.0000,0
5.180,0.0000,0.0000,1.1879,2.08,0.0000,0
5.293,0.0000,0.0000,1.1892,2.02,0.0000,0
5.403,0.0000,0.0000,1.1903,1.80,0.0000,0
5.515,0.0000,0.0000,1.1914,1.88,0.0000,0
5.624,0.0000,0.0000,1.1923,1.88,0.0000,0
5.735,0.0000,0.0000,1.1931,1.64,0.0000,0
5.846,0.0000,0.0000,1.1938,1.65,0.0000,0
5.956,0.0000,0.0000,1.1945,2.59,0.0000,0
6.063,0.0000,0.0000,1.1951,2.48,0.0000,0
6.174,0.0000,0.0000,1.1956,2.40,0.0000,0
6.281,0.0000,0.0000,1.1960,2.31,0.0000,0
6.393,0.0000,0.0000,1.1965,2.11,0.0000,0
6.498,0.0000,0.0000,1.1968,1.87,0.0000,0
6.606,0.0000,0.0000,1.1971,1.85,0.0000,0
6.715,0.0000,0.0000,1.1974,1.85,0.0000,0
6.821,0.0000,0.0000,1.1977,1.85,0.0000,0
6.928,0.0000,0.0000,1.1979,1.83,0.0000,0
7.039,0.0000,0.0000,1.1982,1.91,0.0000,0
7.144,0.0000,0.0000,1.1983,1.98,0.0000,0
7.252,0.0000,0.0000,1.1985,1.75,0.0000,0
7.359,0.0000,0.0000,1.1987,1.73,0.0000,0
7.468,0.0000,0.0000,1.1988,1.64,0.0000,0
7.579,0.0000,0.0000,1.1989,1.73,0.0000,0
7.683,0.0000,0.0000,1.1990,1.73,0.0000,0
