Time,OverstimulationLevel,AdaptedLevel,AdaptationMultiplier,HeadRotationSpeed,DiscomfortLevel,ActiveTriggers
0.102,0.0000,0.0000,0.9894,2557.60,1.0000,0
0.204,0.0000,0.0000,0.9723,1488.53,1.0000,0
0.328,0.0000,0.0000,0.9490,960.03,1.0000,0
0.449,0.0000,0.0000,0.9332,712.89,1.0000,0
0.550,0.0000,0.0000,0.9186,576.67,1.0000,0
0.655,0.0000,0.0000,0.9100,503.87,1.0000,0
0.768,0.0000,0.0000,0.8952,430.14,1.0000,0
0.879,0.0000,0.0000,0.8856,377.81,1.0000,0
0.986,0.0000,0.0000,0.8763,336.77,1.0000,0
1.112,0.0000,0.0000,0.8671,297.09,1.0000,0
1.222,0.0000,0.0000,0.8602,272.52,1.0000,0
1.346,0.0000,0.0000,0.8530,246.11,1.0000,0
1.454,0.0000,0.0000,0.8487,232.08,1.0000,0
1.579,0.0000,0.0000,0.8423,213.65,1.0000,0
1.683,0.0000,0.0000,0.8380,203.03,1.0000,0
1.807,0.0000,0.0000,0.8331,187.70,1.0000,0
1.925,0.0000,0.0000,0.8297,177.18,1.0000,0
2.031,0.0000,0.0000,0.8265,39.18,0.1530,0
2.153,0.0000,0.0000,0.8698,26.33,0.0000,0
2.262,0.0000,0.0000,0.9045,23.77,0.0000,0
2.363,0.0000,0.0000,0.9334,22.06,0.0000,0
2.469,0.0000,0.0000,0.9604,20.49,0.0000,0
2.571,0.0000,0.0000,0.9836,17.54,0.0000,0
2.674,0.0000,0.0000,1.0060,16.51,0.0000,0
2.777,0.0000,0.0000,1.0241,15.97,0.0000,0
2.898,0.0000,0.0000,1.0452,14.60,0.0000,0
3.022,0.0000,0.0000,1.0631,13.95,0.0000,0
3.143,0.0000,0.0000,1.0795,12.28,0.0000,0
3.247,0.0000,0.0000,1.0908,10.94,0.0000,0
3.366,0.0000,0.0000,1.1040,9.81,0.0000,0
3.489,0.0000,0.0000,1.1149,8.72,0.0000,0
3.606,0.0000,0.0000,1.1246,8.78,0.0000,0
3.731,0.0000,0.0000,1.1333,9.51,0.0000,0
3.848,0.0000,0.0000,1.1410,9.20,0.0000,0
3.952,0.0000,0.0000,1.1465,9.07,0.0000,0
4.071,0.0000,0.0000,1.1530,8.70,0.0000,0
4.188,0.0000,0.0000,1.1581,8.16,0.0000,0
4.305,0.0000,0.0000,1.1629,8.78,0.0000,0
4.417,0.0000,0.0000,1.1669,9.45,0.0000,0
4.533,0.0000,0.0000,1.1706,10.06,0.0000,0
4.650,0.0000,0.0000,1.1738,9.94,0.0000,0
4.763,0.0000,0.0000,1.1767,9.68,0.0000,0
4.874,0.0000,0.0000,1.1792,9.45,0.0000,0
4.987,0.0000,0.0000,1.1814,9.68,0.0000,0
5.100,0.0000,0.0000,1.1834,10.14,0.0000,0
5.211,0.0000,0.0000,1.1852,10.37,0.0000,0
5.318,0.0000,0.0000,1.1867,10.94,0.0000,0
5.427,0.0000,0.0000,1.1881,11.47,0.0000,0
5.533,0.0000,0.0000,1.1893,12.15,0.0000,0
5.642,0.0000,0.0000,1.1904,12.90,0.0000,0
5.751,0.0000,0.0000,1.1914,14.09,0.0000,0
5.864,0.0000,0.0000,1.1923,15.39,0.0000,0
5.973,0.0000,0.0000,1.1931,15.79,0.0000,0
6.085,0.0000,0.0000,1.1939,15.69,0.0000,0
6.196,0.0000,0.0000,1.1945,15.72,0.0000,0
6.304,0.0000,0.0000,1.1951,15.36,0.0000,0
6.412,0.0000,0.0000,1.1956,14.58,0.0000,0
6.518,0.0000,0.0000,1.1961,13.55,0.0000,0
6.624,0.0000,0.0000,1.1964,12.90,0.0000,0
6.730,0.0000,0.0000,1.1968,12.34,0.0000,0
6.837,0.0000,0.0000,1.1971,14.05,0.0000,0
6.943,0.0000,0.0000,1.1974,16.31,0.0000,0
7.054,0.0000,0.0000,1.1977,18.05,0.0000,0
7.158,0.0000,0.0000,1.1979,19.97,0.0000,0
7.266,0.0000,0.0000,1.1981,21.22,0.0000,0
7.372,0.0000,0.0000,1.1983,21.51,0.0000,0
7.477,0.0000,0.0000,1.1985,21.31,0.0000,0
7.584,0.0000,0.0000,1.1987,19.76,0.0000,0
7.689,0.0000,0.0000,1.1988,18.30,0.0000,0
7.797,0.0000,0.0000,1.1989,16.77,0.0000,0
7.903,0.0000,0.0000,1.1990,15.72,0.0000,0
8.010,0.0000,0.0000,1.1991,15.32,0.0000,0
8.113,0.0000,0.0000,1.1992,15.72,0.0000,0
8.222,0.0000,0.0000,1.1993,15.20,0.0000,0
8.343,0.0000,0.0000,1.1994,14.79,0.0000,0
8.455,0.0000,0.0000,1.1994,14.90,0.0000,0
8.558,0.0000,0.0000,1.1995,15.56,0.0000,0
8.662,0.0000,0.0000,1.1995,16.77,0.0000,0
8.773,0.0000,0.0000,1.1996,16.98,0.0000,0
8.892,0.0000,0.0000,1.1996,15.11,0.0000,0
9.004,0.0000,0.0000,1.1997,12.56,0.0000,0
9.108,0.0000,0.0000,1.1997,11.22,0.0000,0
9.209,0.0000,0.0000,1.1997,9.53,0.0000,0
9.316,0.0000,0.0000,1.1998,8.45,0.0000,0
9.418,0.0000,0.0000,1.1998,8.21,0.0000,0
9.519,0.0000,0.0000,1.1998,9.47,0.0000,0
9.626,0.0000,0.0000,1.1998,10.74,0.0000,0
9.727,0.0000,0.0000,1.1998,10.93,0.0000,0
9.847,0.0000,0.0000,1.1999,10.71,0.0000,0
9.947,0.0000,0.0000,1.1999,10.59,0.0000,0
10.048,0.0000,0.0000,1.1999,10.46,0.0000,0
10.163,0.0000,0.0000,1.1999,10.37,0.0000,0
10.281,0.0000,0.0000,1.1999,10.19,0.0000,0
10.381,0.0000,0.0000,1.1999,10.40,0.0000,0
10.498,0.0000,0.0000,1.1999,11.37,0.0000,0
10.618,0.0000,0.0000,1.1999,11.14,0.0000,0
10.736,0.0000,0.0000,1.1999,10.44,0.0000,0
10.854,0.0000,0.0000,1.2000,9.86,0.0000,0
10.973,0.0000,0.0000,1.2000,9.25,0.0000,0
11.092,0.0000,0.0000,1.2000,8.83,0.0000,0
11.210,0.0000,0.0000,1.2000,8.36,0.0000,0
11.315,0.0000,0.0000,1.2000,8.19,0.0000,0
11.417,0.0000,0.0000,1.2000,7.87,0.0000,0
11.536,0.0000,0.0000,1.2000,6.68,0.0000,0
11.638,0.0000,0.0000,1.2000,5.36,0.0000,0
11.747,0.0000,0.0000,1.2000,5.08,0.0000,0
11.849,0.0000,0.0000,1.2000,5.03,0.0000,0
11.956,0.0000,0.0000,1.2000,5.07,0.0000,0
12.060,0.0000,0.0000,1.2000,4.79,0.0000,0
12.165,0.0000,0.0000,1.2000,4.62,0.0000,0
12.270,0.0000,0.0000,1.2000,4.67,0.0000,0
12.372,0.0000,0.0000,1.2000,4.74,0.0000,0
12.478,0.0000,0.0000,1.2000,5.01,0.0000,0
12.582,0.0000,0.0000,1.2000,5.14,0.0000,0
12.687,0.0000,0.0000,1.2000,4.98,0.0000,0
12.803,0.0000,0.0000,1.2000,4.89,0.0000,0
12.909,0.0000,0.0000,1.2000,4.83,0.0000,0
13.024,0.0000,0.0000,1.2000,4.94,0.0000,0
13.139,0.0000,0.0000,1.2000,4.58,0.0000,0
13.253,0.0000,0.0000,1.2000,4.40,0.0000,0
13.369,0.0000,0.0000,1.2000,4.26,0.0000,0
13.484,0.0000,0.0000,1.2000,3.96,0.0000,0
13.585,0.0000,0.0000,1.2000,3.85,0.0000,0
13.695,0.0000,0.0000,1.2000,3.76,0.0000,0
13.799,0.0000,0.0000,1.2000,3.76,0.0000,0
13.915,0.0000,0.0000,1.2000,3.73,0.0000,0
14.027,0.0000,0.0000,1.2000,3.65,0.0000,0
14.128,0.0000,0.0000,1.2000,3.55,0.0000,0
14.241,0.0000,0.0000,1.2000,3.55,0.0000,0
14.358,0.0000,0.0000,1.2000,3.43,0.0000,0
14.471,0.0000,0.0000,1.2000,2.45,0.0000,0
14.571,0.0000,0.0000,1.2000,1.64,0.0000,0
14.683,0.0000,0.0000,1.2000,1.29,0.0000,0
14.798,0.0000,0.0000,1.2000,0.94,0.0000,0
14.908,0.0000,0.0000,1.2000,0.71,0.0000,0
15.011,0.0000,0.0000,1.2000,0.29,0.0000,0
15.118,0.0000,0.0000,1.2000,0.20,0.0000,0
15.223,0.0000,0.0000,1.2000,0.27,0.0000,0
15.334,0.0000,0.0000,1.2000,0.16,0.0000,0
15.446,0.0000,0.0000,1.2000,0.16,0.0000,0
15.557,0.0000,0.0000,1.2000,0.16,0.0000,0
15.670,0.0000,0.0000,1.2000,0.16,0.0000,0
15.782,0.0000,0.0000,1.2000,0.16,0.0000,0
15.894,0.0000,0.0000,1.2000,0.16,0.0000,0
16.004,0.0000,0.0000,1.2000,0.16,0.0000,0
16.114,0.0000,0.0000,1.2000,0.16,0.0000,0
16.225,0.0000,0.0000,1.2000,0.16,0.0000,0
16.334,0.0000,0.0000,1.2000,0.15,0.0000,0
