Time,OverstimulationLevel,AdaptedLevel,AdaptationMultiplier,HeadRotationSpeed,DiscomfortLevel,ActiveTriggers
0.103,0.0000,0.0000,0.9944,49.53,0.3255,0
0.240,0.0000,0.0000,1.0076,31.10,0.0183,0
0.344,0.0000,0.0000,1.0309,23.42,0.0000,0
0.485,0.0000,0.0000,1.0491,22.69,0.0000,0
0.599,0.0000,0.0000,1.0704,18.00,0.0000,0
0.712,0.0000,0.0000,1.0838,15.06,0.0000,0
0.819,0.0000,0.0000,1.0966,14.41,0.0000,0
0.936,0.0000,0.0000,1.1073,14.79,0.0000,0
1.041,0.0000,0.0000,1.1173,14.64,0.0000,0
1.151,0.0000,0.0000,1.1258,15.97,0.0000,0
1.256,0.0000,0.0000,1.1335,16.81,0.0000,0
1.363,0.0000,0.0000,1.1401,16.29,0.0000,0
1.472,0.0000,0.0000,1.1466,14.99,0.0000,0
1.573,0.0000,0.0000,1.1520,13.88,0.0000,0
1.681,0.0000,0.0000,1.1565,13.04,0.0000,0
1.784,0.0000,0.0000,1.1611,12.43,0.0000,0
1.908,0.0000,0.0000,1.1657,11.93,0.0000,0
2.030,0.0000,0.0000,1.1697,11.10,0.0000,0
2.152,0.0000,0.0000,1.1733,9.62,0.0000,0
2.270,0.0000,0.0000,1.1762,9.39,0.0000,0
2.388,0.0000,0.0000,1.1790,8.33,0.0000,0
2.507,0.0000,0.0000,1.1813,7.89,0.0000,0
2.622,0.0000,0.0000,1.1834,7.71,0.0000,0
2.740,0.0000,0.0000,1.1853,7.71,0.0000,0
2.862,0.0000,0.0000,1.1869,6.92,0.0000,0
2.977,0.0000,0.0000,1.1884,6.92,0.0000,0
3.093,0.0000,0.0000,1.1897,6.04,0.0000,0
3.213,0.0000,0.0000,1.1909,4.84,0.0000,0
3.327,0.0000,0.0000,1.1919,4.36,0.0000,0
3.448,0.0000,0.0000,1.1928,4.34,0.0000,0
3.565,0.0000,0.0000,1.1936,4.57,0.0000,0
