Time,OverstimulationLevel,AdaptedLevel,AdaptationMultiplier,HeadRotationSpeed,DiscomfortLevel,ActiveTriggers
0.102,0.0000,0.0000,0.9883,1415.76,1.0000,0
0.210,0.0000,0.0000,0.9729,820.74,1.0000,0
0.311,0.0000,0.0000,0.9525,575.72,1.0000,0
0.413,0.0000,0.0000,0.9364,414.53,1.0000,0
0.518,0.0000,0.0000,0.9228,325.56,1.0000,0
0.625,0.0000,0.0000,0.9106,267.10,1.0000,0
0.747,0.0000,0.0000,0.8972,218.31,1.0000,0
0.867,0.0000,0.0000,0.8867,190.69,1.0000,0
0.969,0.0000,0.0000,0.8778,168.90,1.0000,0
1.072,0.0000,0.0000,0.8698,152.50,1.0000,0
1.173,0.0000,0.0000,0.8648,141.98,1.0000,0
1.302,0.0000,0.0000,0.8560,127.33,1.0000,0
1.415,0.0000,0.0000,0.8494,117.34,1.0000,0
1.519,0.0000,0.0000,0.8447,109.68,1.0000,0
1.645,0.0000,0.0000,0.8399,104.01,1.0000,0
1.754,0.0000,0.0000,0.8350,97.68,1.0000,0
1.862,0.0000,0.0000,0.8320,94.02,1.0000,0
1.964,0.0000,0.0000,0.8283,88.72,0.9787,0
2.069,0.0000,0.0000,0.8370,9.41,0.0000,0
2.171,0.0000,0.0000,0.8743,9.16,0.0000,0
2.275,0.0000,0.0000,0.9059,10.09,0.0000,0
2.403,0.0000,0.0000,0.9411,11.74,0.0000,0
2.506,0.0000,0.0000,0.9677,11.60,0.0000,0
2.608,0.0000,0.0000,0.9905,11.63,0.0000,0
2.735,0.0000,0.0000,1.0157,12.45,0.0000,0
2.851,0.0000,0.0000,1.0373,12.53,0.0000,0
2.974,0.0000,0.0000,1.0552,12.89,0.0000,0
3.095,0.0000,0.0000,1.0725,12.38,0.0000,0
3.211,0.0000,0.0000,1.0864,12.30,0.0000,0
3.326,0.0000,0.0000,1.0994,12.54,0.0000,0
3.444,0.0000,0.0000,1.1104,13.58,0.0000,0
3.559,0.0000,0.0000,1.1204,12.91,0.0000,0
3.673,0.0000,0.0000,1.1291,11.73,0.0000,0
3.788,0.0000,0.0000,1.1368,10.56,0.0000,0
3.904,0.0000,0.0000,1.1438,10.25,0.0000,0
4.021,0.0000,0.0000,1.1501,10.07,0.0000,0
4.134,0.0000,0.0000,1.1555,9.52,0.0000,0
4.252,0.0000,0.0000,1.1604,7.75,0.0000,0
4.365,0.0000,0.0000,1.1648,6.16,0.0000,0
4.481,0.0000,0.0000,1.1686,5.41,0.0000,0
4.593,0.0000,0.0000,1.1721,5.15,0.0000,0
4.704,0.0000,0.0000,1.1750,4.29,0.0000,0
4.814,0.0000,0.0000,1.1777,5.03,0.0000,0
4.924,0.0000,0.0000,1.1800,4.72,0.0000,0
5.034,0.0000,0.0000,1.1821,4.98,0.0000,0
5.144,0.0000,0.0000,1.1840,5.21,0.0000,0
5.259,0.0000,0.0000,1.1858,5.07,0.0000,0
5.368,0.0000,0.0000,1.1872,4.49,0.0000,0
5.476,0.0000,0.0000,1.1886,4.46,0.0000,0
5.587,0.0000,0.0000,1.1898,4.51,0.0000,0
5.695,0.0000,0.0000,1.1909,4.23,0.0000,0
5.805,0.0000,0.0000,1.1918,3.96,0.0000,0
5.912,0.0000,0.0000,1.1927,3.76,0.0000,0
6.022,0.0000,0.0000,1.1934,4.36,0.0000,0
6.133,0.0000,0.0000,1.1941,4.41,0.0000,0
6.238,0.0000,0.0000,1.1947,4.49,0.0000,0
6.352,0.0000,0.0000,1.1953,4.49,0.0000,0
6.454,0.0000,0.0000,1.1958,4.37,0.0000,0
6.568,0.0000,0.0000,1.1962,4.17,0.0000,0
6.673,0.0000,0.0000,1.1966,4.17,0.0000,0
6.782,0.0000,0.0000,1.1970,3.36,0.0000,0
6.892,0.0000,0.0000,1.1973,3.73,0.0000,0
7.001,0.0000,0.0000,1.1976,3.80,0.0000,0
7.106,0.0000,0.0000,1.1978,3.33,0.0000,0
7.211,0.0000,0.0000,1.1980,3.31,0.0000,0
7.315,0.0000,0.0000,1.1982,3.41,0.0000,0
7.422,0.0000,0.0000,1.1984,2.97,0.0000,0
7.525,0.0000,0.0000,1.1986,2.37,0.0000,0
7.628,0.0000,0.0000,1.1987,2.35,0.0000,0
7.732,0.0000,0.0000,1.1988,2.35,0.0000,0
7.837,0.0000,0.0000,1.1990,2.35,0.0000,0
7.941,0.0000,0.0000,1.1991,2.35,0.0000,0
8.044,0.0000,0.0000,1.1991,1.77,0.0000,0
8.148,0.0000,0.0000,1.1992,1.74,0.0000,0
