scenario,samples_active_phase,duration_s,mean_head_rotation_speed,max_head_rotation_speed,mean_adaptation_multiplier,min_adaptation_multiplier,max_adaptation_multiplier,mean_adapted_level,max_adapted_level,mean_discomfort,max_discomfort,high_velocity_ratio,overstimulation_bound_violations,adapted_bound_violations,multiplier_bound_violations,non_negative_adapted_derivative_ratio,adapted_below_overstimulation_ratio,adapted_below_overstimulation_ratio_rapid_regime,max_sign_changes_1s
rapid,259.4,28.235400000000006,136.5511380181359,216.00799999999998,0.8784850849265238,0.8,1.1983000000000001,0.644588771219275,0.88168,0.8293789261196203,1.0,0.7927033546093355,0,0,0,0.9251753313909141,0.8191042846007607,0.9828200448693298,2
still,246.2,27.1858,0.9031578757490145,9.325999999999999,1.1999999999999997,1.2,1.2,0.8195109257633055,1.0,0.0,0.0,0.0,0,0,0,1.0,0.0,,0
