Time,OverstimulationLevel,AdaptedLevel,AdaptationMultiplier,HeadRotationSpeed,DiscomfortLevel,ActiveTriggers
10.651,0.5206,0.4514,0.8674,0.00,0.0000,1
10.752,0.5256,0.4524,0.8609,0.00,0.0000,1
10.854,0.5308,0.4537,0.8549,0.00,0.0000,1
10.955,0.5358,0.4552,0.8497,0.00,0.0000,1
11.058,0.5406,0.4568,0.8451,0.00,0.0000,1
11.164,0.5461,0.4589,0.8404,0.00,0.0000,1
11.264,0.5514,0.4611,0.8364,0.00,0.0000,1
11.365,0.5564,0.4634,0.8328,0.00,0.0000,1
11.466,0.5614,0.4658,0.8297,0.00,0.0000,1
11.566,0.5664,0.4683,0.8268,0.00,0.0000,1
11.667,0.5715,0.4710,0.8243,0.00,0.0000,1
11.767,0.5765,0.4738,0.8219,0.00,0.0000,1
11.872,0.5815,0.4767,0.8198,0.00,0.0000,1
11.973,0.5865,0.4797,0.8180,0.00,0.0000,1
12.073,0.5918,0.4830,0.8162,0.00,0.0000,1
12.173,0.5968,0.4861,0.8147,0.00,0.0000,1
12.273,0.6018,0.4894,0.8133,0.00,0.0000,1
12.374,0.6069,0.4927,0.8119,0.00,0.0000,1
12.475,0.6119,0.4961,0.8108,0.00,0.0000,1
12.580,0.6169,0.4995,0.8098,0.00,0.0000,1
12.681,0.6222,0.5032,0.8088,0.00,0.0000,1
12.782,0.6271,0.5067,0.8080,0.00,0.0000,1
12.885,0.6323,0.5103,0.8072,0.00,0.0000,1
12.986,0.6374,0.5141,0.8065,0.00,0.0000,1
13.088,0.6424,0.5177,0.8059,0.00,0.0000,1
13.188,0.6475,0.5214,0.8053,0.00,0.0000,1
13.289,0.6525,0.5251,0.8048,0.00,0.0000,1
13.389,0.6575,0.5289,0.8043,0.00,0.0000,1
13.491,0.6626,0.5327,0.8039,0.00,0.0000,1
13.593,0.6677,0.5365,0.8035,0.00,0.0000,1
13.694,0.6727,0.5403,0.8032,0.00,0.0000,1
13.797,0.6779,0.5443,0.8029,0.00,0.0000,1
13.898,0.6830,0.5481,0.8026,0.00,0.0000,1
13.999,0.6881,0.5521,0.8024,0.00,0.0000,1
14.100,0.6931,0.5559,0.8021,0.00,0.0000,1
14.201,0.6982,0.5599,0.8019,0.00,0.0000,1
14.302,0.7032,0.5637,0.8017,0.00,0.0000,1
14.402,0.7082,0.5676,0.8016,0.00,0.0000,1
14.503,0.7132,0.5716,0.8014,0.00,0.0000,1
14.605,0.7183,0.5756,0.8013,0.00,0.0000,1
14.712,0.7234,0.5795,0.8012,0.00,0.0000,1
14.813,0.7287,0.5837,0.8010,0.00,0.0000,1
14.914,0.7337,0.5876,0.8009,0.00,0.0000,1
15.016,0.7388,0.5917,0.8009,0.00,0.0000,1
15.116,0.7439,0.5957,0.8008,0.00,0.0000,1
15.216,0.7489,0.5996,0.8007,0.00,0.0000,1
15.318,0.7540,0.6036,0.8006,0.00,0.0000,1
15.419,0.7590,0.6076,0.8006,0.00,0.0000,1
15.521,0.7641,0.6117,0.8005,0.00,0.0000,1
15.621,0.7692,0.6157,0.8005,0.00,0.0000,1
15.723,0.7741,0.6196,0.8004,0.00,0.0000,1
15.825,0.7790,0.6235,0.8004,0.00,0.0000,1
15.925,0.7844,0.6278,0.8003,0.00,0.0000,1
16.026,0.7894,0.6317,0.8003,0.00,0.0000,1
16.129,0.7944,0.6358,0.8003,0.00,0.0000,1
16.230,0.7996,0.6399,0.8003,0.00,0.0000,1
16.331,0.8046,0.6439,0.8002,0.00,0.0000,1
16.431,0.8096,0.6479,0.8002,0.00,0.0000,1
16.531,0.8146,0.6519,0.8002,0.00,0.0000,1
16.633,0.8198,0.6559,0.8002,0.00,0.0000,1
16.734,0.8248,0.6600,0.8002,0.00,0.0000,1
16.839,0.8299,0.6640,0.8001,0.00,0.0000,1
16.940,0.8351,0.6682,0.8001,0.00,0.0000,1
17.040,0.8399,0.6720,0.8001,0.00,0.0000,1
17.141,0.8452,0.6762,0.8001,0.00,0.0000,1
17.241,0.8502,0.6802,0.8001,0.00,0.0000,1
17.347,0.8552,0.6843,0.8001,0.00,0.0000,1
17.448,0.8605,0.6885,0.8001,0.00,0.0000,1
17.548,0.8655,0.6925,0.8001,0.00,0.0000,1
17.648,0.8706,0.6965,0.8001,0.00,0.0000,1
17.749,0.8756,0.7005,0.8001,0.00,0.0000,1
17.849,0.8806,0.7045,0.8000,0.00,0.0000,1
17.950,0.8856,0.7085,0.8000,0.00,0.0000,1
18.050,0.8906,0.7125,0.8000,0.00,0.0000,1
18.156,0.8956,0.7165,0.8000,0.00,0.0000,1
18.256,0.9007,0.7206,0.8000,0.00,0.0000,1
18.356,0.9060,0.7248,0.8000,0.00,0.0000,1
18.456,0.9110,0.7288,0.8000,0.00,0.0000,1
18.556,0.9156,0.7325,0.8000,0.00,0.0000,1
18.657,0.9209,0.7367,0.8000,0.00,0.0000,1
18.759,0.9260,0.7408,0.8000,0.00,0.0000,1
18.861,0.9312,0.7450,0.8000,0.00,0.0000,1
18.963,0.9362,0.7490,0.8000,0.00,0.0000,1
19.066,0.9413,0.7531,0.8000,0.00,0.0000,1
19.168,0.9464,0.7572,0.8000,0.00,0.0000,1
19.271,0.9516,0.7613,0.8000,0.00,0.0000,1
19.375,0.9567,0.7654,0.8000,0.00,0.0000,1
19.478,0.9620,0.7696,0.8000,0.00,0.0000,1
19.580,0.9670,0.7736,0.8000,0.00,0.0000,1
19.681,0.9721,0.7777,0.8000,0.00,0.0000,1
19.783,0.9772,0.7818,0.8000,0.00,0.0000,1
19.885,0.9823,0.7858,0.8000,0.00,0.0000,1
19.986,0.9874,0.7899,0.8000,0.00,0.0000,1
20.086,0.9924,0.7939,0.8000,0.00,0.0000,1
20.193,0.9975,0.7980,0.8000,0.00,0.0000,1
